,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,FUNCSTAT,2010,2011,2012,2013,2014,2015,2016
110,Ash Fork,Ash Fork,AZ,Arizona,4027,Yuma,32.7573,-114.398,A,197071,202539,202160,201851,203111,203706,205631
111,San Luis,San Luis,AR,Arkansas,5001,Arkansas,34.3268,-91.2343,A,2921995,2939493,2950685,2958663,2966912,2977853,2988248
112,Almyra,Almyra,AR,Arkansas,5003,Ashley,33.1488,-92.0221,A,19015,18880,18978,18777,18502,18373,18214
113,Portland,Portland,AR,Arkansas,5005,Baxter,36.3739,-92.5387,A,21831,21656,21491,21234,20920,20810,20492
114,Clarkridge,Clarkridge,AR,Arkansas,5007,Benton,36.449,-94.1212,A,41539,41280,41068,40962,40797,41070,41062
115,Gateway,Gateway,AR,Arkansas,5009,Boone,36.29,-93.3037,A,222566,228788,234243,238778,243991,250851,258291
116,Omaha,Omaha,AR,Arkansas,5011,Bradley,33.4284,-92.3143,A,36897,37055,37356,37412,37206,37229,37304
117,Hermitage,Hermitage,AR,Arkansas,5013,Calhoun,33.7756,-92.4889,A,11486,11445,11273,11133,11024,11053,10996
118,Hampton,Hampton,AR,Arkansas,5015,Carroll,36.4966,-93.3977,A,5337,5288,5306,5214,5175,5209,5144
119,Urbanette,Urbanette,AR,Arkansas,5017,Chicot,33.2562,-91.2862,A,27540,27443,27574,27745,27742,27744,27646
120,Readland,Readland,AR,Arkansas,5019,Clark,34.0005,-93.3375,A,11793,11683,11473,11344,11196,10985,10945
121,Curtis,Curtis,AR,Arkansas,5021,Clay,36.3925,-90.7285,A,22944,22943,22807,22650,22663,22642,22657
122,Greenway,Greenway,AR,Arkansas,5023,Cleburne,35.6548,-91.9107,A,16050,15827,15568,15312,15143,15067,14920
123,Ida,Ida,AR,Arkansas,5025,Cleveland,34.0445,-92.1404,A,25999,25942,25824,25710,25670,25469,25264
124,New Edinburg,New Edinburg,AR,Arkansas,5027,Columbia,33.1187,-93.0527,A,8686,8665,8615,8539,8410,8299,8241
125,Emerson,Emerson,AR,Arkansas,5029,Conway,35.3806,-92.5702,A,24747,24696,24429,24294,24078,24140,23901
126,Morrilton,Morrilton,AR,Arkansas,5031,Craighead,35.8365,-90.3677,A,21239,21146,21205,21145,21019,20994,20937
127,Cash,Cash,AR,Arkansas,5033,Crawford,35.4266,-94.2369,A,96727,98371,99948,101654,102621,104362,105835
128,Uniontown,Uniontown,AR,Arkansas,5035,Crittenden,35.3763,-90.2704,A,61977,61829,61940,61696,61840,61894,62267
129,Anthonyville,Anthonyville,AR,Arkansas,5037,Cross,35.2434,-91.0312,A,50947,50520,50065,49730,49538,48985,49235
130,Cherry Valley,Cherry Valley,AR,Arkansas,5039,Dallas,33.8523,-92.8293,A,17833,17746,17651,17492,17182,17282,17037
131,Ramsey,Ramsey,AR,Arkansas,5041,Desha,33.609,-91.2048,A,8068,8078,7979,7922,7735,7583,7469
132,Dumas,Dumas,AR,Arkansas,5043,Drew,33.7741,-91.4737,A,12964,12709,12575,12467,12245,12007,11876
133,Ladelle,Ladelle,AR,Arkansas,5045,Faulkner,35.3272,-92.3367,A,18657,18721,18762,18682,18669,18675,18651
134,Mayflower,Mayflower,AR,Arkansas,5047,Franklin,35.5001,-93.8436,A,114065,116297,118534,119299,120683,121343,122227
135,Cass,Cass,AR,Arkansas,5049,Fulton,36.2773,-91.6915,A,18124,18002,17957,17934,17767,17709,17626
136,Mammoth Spring,Mammoth Spring,AR,Arkansas,5051,Garland,34.522,-93.336,A,12216,12296,12246,12243,12130,12188,12123
137,Lake Hamilton,Lake Hamilton,AR,Arkansas,5053,Grant,34.1457,-92.3154,A,96123,96617,96794,96986,97183,97154,97477
138,Prattsville,Prattsville,AR,Arkansas,5055,Greene,36.1901,-90.386,A,17891,17954,18026,18035,18059,18030,18082
139,Paragould,Paragould,AR,Arkansas,5057,Hempstead,33.6609,-93.8323,A,42187,42732,43166,43078,43717,44167,44598
140,Patmos,Patmos,AR,Arkansas,5059,Hot Spring,34.3647,-92.7763,A,22600,22507,22346,22392,22289,22038,21974
141,Point Cedar,Point Cedar,AR,Arkansas,5061,Howard,33.8182,-93.8968,A,33212,33115,33457,33495,33389,33483,33374
142,Dierks,Dierks,AR,Arkansas,5063,Independence,35.7687,-91.6226,A,13803,13821,13693,13527,13488,13350,13377
143,Pleasant Plains,Pleasant Plains,AR,Arkansas,5065,Izard,36.1537,-91.8415,A,36805,36831,36925,36873,37113,37073,37168
144,Wideman,Wideman,AR,Arkansas,5067,Jackson,35.6422,-91.308,A,13682,13579,13522,13386,13508,13454,13433
145,Tupelo,Tupelo,AR,Arkansas,5069,Jefferson,34.3807,-92.164,A,18045,17854,17649,17690,17565,17350,17221
146,Altheimer,Altheimer,AR,Arkansas,5071,Johnson,35.4569,-93.4803,A,77321,76033,74618,73150,72376,71764,70016
147,Hagarville,Hagarville,AR,Arkansas,5073,Lafayette,33.3566,-93.4957,A,25552,25692,25911,25896,25998,26146,26176
148,Bradley,Bradley,AR,Arkansas,5075,Lawrence,36.0841,-91.1202,A,7636,7540,7441,7245,7119,6981,6847
149,Smithville,Smithville,AR,Arkansas,5077,Lee,34.8607,-90.5923,A,17498,17293,17047,17067,16987,16741,16735
150,Moro,Moro,AR,Arkansas,5079,Lincoln,33.9406,-91.84,A,10371,10277,10162,9991,9798,9645,9310
151,Yorktown,Yorktown,AR,Arkansas,5081,Little River,33.7388,-94.148,A,14072,14322,14139,14023,13967,13841,13705
152,Ashdown,Ashdown,AR,Arkansas,5083,Logan,35.3606,-93.5394,A,22313,22283,22018,22111,21959,21796,21792
153,Driggs,Driggs,AR,Arkansas,5085,Lonoke,34.7908,-91.9069,A,68709,69447,70101,70807,71563,71697,72228
154,Scott,Scott,AR,Arkansas,5087,Madison,35.8667,-93.5307,A,15694,15681,15619,15684,15714,15717,16072
155,Marble,Marble,AR,Arkansas,5089,Marion,36.4323,-92.7688,A,16657,16655,16616,16446,16421,16214,16325
156,Oakland,Oakland,AR,Arkansas,5091,Miller,33.0515,-93.896,A,43541,43750,43649,43440,43556,43899,43787
157,Texarkana,Texarkana,AR,Arkansas,5093,Mississippi,35.6941,-89.9934,A,46390,46036,45531,44687,44243,43699,42835
